#!/opt/homebrew/bin/rebench compile_size.conf
# Execution Start: 2024-10-17T12:51:22.078743+00:00
# Environment: {"userName": "palumbon", "manualRun": true, "hostName": "Drown-2.local", "osType": "Darwin", "memory": 17179869184, "denoise": {}, "cpu": "Apple M1 Pro", "clockSpeed": 0, "software": [{"name": "kernel", "version": "Darwin Kernel Version 21.6.0: Mon Jun 24 00:58:06 PDT 2024; root:xnu-8020.240.18.709.2~1/RELEASE_ARM64_T6000"}, {"name": "kernel-release", "version": "21.6.0"}, {"name": "architecture", "version": "arm64"}]}
# Source: {"repoURL": "git@github.com:tesonep/benchy.git", "branchOrTag": "server", "commitId": "53a18461c98390ae6b404e17d99c61d7ac74b963", "commitMsg": "Conf and Data for paper\n", "authorName": "palumbon", "committerName": "palumbon", "authorEmail": "nahuel.palumbo@gmail.com", "committerEmail": "nahuel.palumbo@gmail.com"}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	1975280000.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	1555704000.000000	ms	total	SMarkDeltaBlue	Simple	Smark-DeltaBlue		1			
1	1	2751944000.000000	ms	total	benchRegexDNA	Druid	BenchmarkGameSuite-Short		1			
1	1	1586000.000000	ms	total	Network.* Zinc.* Zodiac.*	SimpleDruid	Tests		1			
1	1	2166864000.000000	ms	total	benchBinaryTrees	Druid	BenchmarkGameSuite-VeryLong		1			
1	1	1057168000.000000	ms	total	1+1. (Smalltalk vm parameterAt: 86) + (Smalltalk vm parameterAt: 87)	SimpleDruid	StartUp		1			
1	1	2741376000.000000	ms	total	benchReverseComplement	SimpleDruid	BenchmarkGameSuite-VeryShort		1			
1	1	2133584000.000000	ms	total	benchChameleons	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	3028520000.000000	ms	total	benchMandelbrot	SimpleDruid	BenchmarkGameSuite-Long		1			
1	1	1536416000.000000	ms	total	benchReverseComplement	Simple	BenchmarkGameSuite-VeryShort		1			
1	1	2302248000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
1	1	1552768000.000000	ms	total	benchKNucleotide	Simple	BenchmarkGameSuite-Short		1			
1	1	1820080000.000000	ms	total	benchRegexDNA	Simple	BenchmarkGameSuite-Short		1			
1	1	1999752000.000000	ms	total	SMarkRichards	Druid	Smark-Richards		1			
1	1	1485264000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
1	1	1544808000.000000	ms	total	benchChameleons	Simple	BenchmarkGameSuite-VeryShort		1			
1	1	1321096000.000000	ms	total	benchNBody	Stock	BenchmarkGameSuite-VeryShort		1			
1	1	28846000.000000	ms	total	File.*	SimpleDruid	Tests		1			
1	1	1590000.000000	ms	total	Network.* Zinc.* Zodiac.*	Stock	Tests		1			
1	1	1299000000.000000	ms	total	benchReverseComplement	Stock	BenchmarkGameSuite-VeryShort		1			
1	1	1973528000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
