#!/home/npalumbo/.local/bin/rebench -v compile_size.conf
# Execution Start: 2024-10-22T12:28:50.143696+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	2147752000.000000	ms	total	benchRegexDNA	Druid	BenchmarkGameSuite-Short		1			
2	1	2152248000.000000	ms	total	benchRegexDNA	Druid	BenchmarkGameSuite-Short		1			
3	1	2150696000.000000	ms	total	benchRegexDNA	Druid	BenchmarkGameSuite-Short		1			
4	1	2148032000.000000	ms	total	benchRegexDNA	Druid	BenchmarkGameSuite-Short		1			
5	1	2146008000.000000	ms	total	benchRegexDNA	Druid	BenchmarkGameSuite-Short		1			
6	1	2149832000.000000	ms	total	benchRegexDNA	Druid	BenchmarkGameSuite-Short		1			
7	1	2152960000.000000	ms	total	benchRegexDNA	Druid	BenchmarkGameSuite-Short		1			
8	1	2138304000.000000	ms	total	benchRegexDNA	Druid	BenchmarkGameSuite-Short		1			
9	1	2147608000.000000	ms	total	benchRegexDNA	Druid	BenchmarkGameSuite-Short		1			
10	1	2153872000.000000	ms	total	benchRegexDNA	Druid	BenchmarkGameSuite-Short		1			
1	1	2131696000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
2	1	2131696000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
3	1	2144392000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
4	1	2131696000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
5	1	2144392000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
6	1	2147744000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
7	1	2131696000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
8	1	2144392000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
