#!/home/npalumbo/.local/bin/rebench -v compile_count.conf
# Execution Start: 2024-10-08T11:40:32.994687+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	4291000.000000	ms	total	SMarkDeltaBlue	Druid	Smark-DeltaBlue		1			
2	1	4280000.000000	ms	total	SMarkDeltaBlue	Druid	Smark-DeltaBlue		1			
3	1	4316000.000000	ms	total	SMarkDeltaBlue	Druid	Smark-DeltaBlue		1			
4	1	4315000.000000	ms	total	SMarkDeltaBlue	Druid	Smark-DeltaBlue		1			
5	1	4279000.000000	ms	total	SMarkDeltaBlue	Druid	Smark-DeltaBlue		1			
1	1	1911000.000000	ms	total	Network.* Zinc.* Zodiac.*	Simple	Tests		1			
2	1	1911000.000000	ms	total	Network.* Zinc.* Zodiac.*	Simple	Tests		1			
3	1	1911000.000000	ms	total	Network.* Zinc.* Zodiac.*	Simple	Tests		1			
4	1	1911000.000000	ms	total	Network.* Zinc.* Zodiac.*	Simple	Tests		1			
5	1	1911000.000000	ms	total	Network.* Zinc.* Zodiac.*	Simple	Tests		1			
1	1	20342000.000000	ms	total	File.*	Druid	Tests		1			
2	1	19602000.000000	ms	total	File.*	Druid	Tests		1			
3	1	22232000.000000	ms	total	File.*	Druid	Tests		1			
4	1	19896000.000000	ms	total	File.*	Druid	Tests		1			
5	1	20599000.000000	ms	total	File.*	Druid	Tests		1			
1	1	4555000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
2	1	4554000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
3	1	4545000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
4	1	4554000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
5	1	4553000.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	1906000.000000	ms	total	Network.* Zinc.* Zodiac.*	Stock	Tests		1			
2	1	1906000.000000	ms	total	Network.* Zinc.* Zodiac.*	Stock	Tests		1			
3	1	1906000.000000	ms	total	Network.* Zinc.* Zodiac.*	Stock	Tests		1			
4	1	1906000.000000	ms	total	Network.* Zinc.* Zodiac.*	Stock	Tests		1			
5	1	1906000.000000	ms	total	Network.* Zinc.* Zodiac.*	Stock	Tests		1			
1	1	4152000.000000	ms	total	benchMandelbrot	Stock	BenchmarkGameSuite-Long		1			
2	1	4151000.000000	ms	total	benchMandelbrot	Stock	BenchmarkGameSuite-Long		1			
3	1	4152000.000000	ms	total	benchMandelbrot	Stock	BenchmarkGameSuite-Long		1			
4	1	4153000.000000	ms	total	benchMandelbrot	Stock	BenchmarkGameSuite-Long		1			
5	1	4153000.000000	ms	total	benchMandelbrot	Stock	BenchmarkGameSuite-Long		1			
1	1	4297000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
2	1	4247000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
3	1	4231000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
4	1	4229000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
5	1	4361000.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
1	1	3951000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
2	1	3942000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
3	1	3939000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
4	1	4007000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
5	1	3977000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
1	1	1903000.000000	ms	total	Network.* Zinc.* Zodiac.*	DruidSTP	Tests		1			
2	1	1903000.000000	ms	total	Network.* Zinc.* Zodiac.*	DruidSTP	Tests		1			
3	1	1903000.000000	ms	total	Network.* Zinc.* Zodiac.*	DruidSTP	Tests		1			
4	1	1903000.000000	ms	total	Network.* Zinc.* Zodiac.*	DruidSTP	Tests		1			
5	1	1903000.000000	ms	total	Network.* Zinc.* Zodiac.*	DruidSTP	Tests		1			
1	1	3946000.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
2	1	3926000.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
3	1	3703000.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
4	1	4054000.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
5	1	3926000.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
1	1	4059000.000000	ms	total	benchFasta	Simple	BenchmarkGameSuite-VeryShort		1			
2	1	3930000.000000	ms	total	benchFasta	Simple	BenchmarkGameSuite-VeryShort		1			
