#!/home/npalumbo/.local/bin/rebench -v execution_time.conf
# Execution Start: 2024-04-02T10:30:35.037692+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	771.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
2	1	769.500000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
3	1	802.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
4	1	756.900000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
5	1	756.500000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
6	1	757.300000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
7	1	775.100000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
8	1	757.300000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
9	1	774.100000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
10	1	758.300000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
11	1	760.900000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
12	1	758.500000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
13	1	819.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
14	1	755.700000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
15	1	756.200000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
1	1	177.500000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
2	1	177.700000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
3	1	177.600000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
4	1	177.200000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
5	1	177.700000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
6	1	177.000000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
7	1	181.700000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
8	1	177.500000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
9	1	176.900000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
10	1	177.300000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
11	1	191.000000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
12	1	180.700000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
13	1	177.000000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
14	1	180.500000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
15	1	177.200000	ms	total	benchPiDigits	Stock	BenchmarkGameSuite-Mid		1			
1	1	887.800000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
2	1	907.500000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
3	1	928.100000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
4	1	915.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
5	1	883.400000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
6	1	890.300000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
7	1	900.600000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
8	1	891.600000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
9	1	911.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
10	1	916.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
11	1	931.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
12	1	906.800000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
13	1	886.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
14	1	891.200000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
15	1	879.400000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
1	1	6909.600000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
2	1	6879.100000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
3	1	6877.600000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
4	1	6893.900000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
5	1	6898.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
6	1	6881.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
7	1	6878.100000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
8	1	6898.700000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
