#!/home/npalumbo/.local/bin/rebench -v execution_time.conf
# Execution Start: 2024-06-19T11:58:01.826049+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	106932.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
1	1	510.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
2	1	104592.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
2	1	510.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
3	1	104748.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
3	1	480.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
4	1	104896.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
4	1	510.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
5	1	104596.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
5	1	510.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
6	1	104888.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
6	1	510.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
7	1	106944.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
7	1	520.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
8	1	106848.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
8	1	480.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
9	1	106664.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
9	1	530.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
10	1	104624.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
10	1	360.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
1	1	1301.000000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
2	1	1310.000000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
3	1	1352.500000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
4	1	1414.000000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
5	1	1430.100000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
6	1	1326.000000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
7	1	1250.700000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
8	1	1324.000000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
9	1	1219.800000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
10	1	1240.500000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	1629.700000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
2	1	1630.100000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
3	1	1603.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
4	1	1611.800000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
5	1	1614.700000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
6	1	1634.000000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
7	1	1632.900000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
8	1	1625.700000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
9	1	1632.900000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
10	1	1616.100000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	3489.400000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
2	1	3466.200000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
3	1	3493.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
4	1	3520.800000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
5	1	3462.900000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
6	1	3466.600000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
7	1	3463.900000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
8	1	3464.400000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
9	1	3467.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
10	1	3474.000000	ms	total	SMarkRichards	SimpleDruid	Smark-Richards		1			
1	1	107.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
2	1	79.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
3	1	79.500000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
4	1	79.900000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
5	1	79.500000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
6	1	89.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
7	1	80.500000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
8	1	83.400000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
9	1	79.800000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
10	1	80.300000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	802.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
2	1	776.900000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
3	1	775.100000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
4	1	773.400000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
5	1	780.600000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
6	1	773.400000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
7	1	780.300000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
8	1	773.700000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
9	1	780.800000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
10	1	769.700000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
1	1	6579.600000	ms	total	benchMandelbrot	SimpleDruid	BenchmarkGameSuite-Long		1			
2	1	6588.300000	ms	total	benchMandelbrot	SimpleDruid	BenchmarkGameSuite-Long		1			
3	1	6594.000000	ms	total	benchMandelbrot	SimpleDruid	BenchmarkGameSuite-Long		1			
4	1	6589.200000	ms	total	benchMandelbrot	SimpleDruid	BenchmarkGameSuite-Long		1			
5	1	6575.200000	ms	total	benchMandelbrot	SimpleDruid	BenchmarkGameSuite-Long		1			
6	1	6596.300000	ms	total	benchMandelbrot	SimpleDruid	BenchmarkGameSuite-Long		1			
7	1	6599.100000	ms	total	benchMandelbrot	SimpleDruid	BenchmarkGameSuite-Long		1			
8	1	6599.000000	ms	total	benchMandelbrot	SimpleDruid	BenchmarkGameSuite-Long		1			
9	1	6585.000000	ms	total	benchMandelbrot	SimpleDruid	BenchmarkGameSuite-Long		1			
10	1	6596.700000	ms	total	benchMandelbrot	SimpleDruid	BenchmarkGameSuite-Long		1			
1	1	1059.400000	ms	total	benchKNucleotide	Druid	BenchmarkGameSuite-Short		1			
2	1	1038.000000	ms	total	benchKNucleotide	Druid	BenchmarkGameSuite-Short		1			
3	1	1010.600000	ms	total	benchKNucleotide	Druid	BenchmarkGameSuite-Short		1			
