#!/home/npalumbo/.local/bin/rebench -v execution_time.conf
# Execution Start: 2024-04-05T10:58:06.970960+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	7541.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
2	1	6208.200000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
3	1	6823.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
4	1	6209.300000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
5	1	6878.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
6	1	6210.300000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
7	1	6779.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
8	1	6210.100000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
9	1	6818.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
10	1	6630.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
11	1	6210.200000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
12	1	6911.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
13	1	6270.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
14	1	6817.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
15	1	6209.800000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
1	1	3718.300000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
2	1	3724.200000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
3	1	3726.500000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
4	1	3450.200000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
5	1	3588.900000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
6	1	3641.900000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
7	1	3510.500000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
8	1	3702.000000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
9	1	3728.900000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
10	1	3733.600000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
11	1	3636.700000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
12	1	3481.000000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
13	1	3653.000000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
14	1	3646.500000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
15	1	3479.900000	ms	total	benchNBody	Stack	BenchmarkGameSuite-VeryShort		1			
1	1	84.200000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
2	1	88.300000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
3	1	106.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
4	1	83.400000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
5	1	103.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
6	1	88.900000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
7	1	88.800000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
8	1	91.000000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
9	1	89.100000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
10	1	83.300000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
11	1	83.700000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
12	1	86.200000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
13	1	83.300000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
14	1	93.500000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
15	1	88.400000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	1193.700000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
2	1	1267.000000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
3	1	1190.500000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
4	1	1187.400000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
5	1	1183.000000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
6	1	1178.800000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
7	1	1179.500000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
8	1	1204.000000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
9	1	1179.000000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
10	1	1180.100000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
11	1	1215.100000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
12	1	1179.200000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
13	1	1229.000000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
14	1	1179.500000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
15	1	1234.000000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
1	1	1712.100000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
2	1	1735.400000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
3	1	1734.600000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
4	1	1713.200000	ms	total	benchNBody	Druid	BenchmarkGameSuite-VeryShort		1			
