#!/home/npalumbo/.local/bin/rebench -v execution_time.conf
# Execution Start: 2024-09-10T15:49:47.040174+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	3662.300000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
2	1	3706.900000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
3	1	3797.000000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
4	1	3692.800000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
5	1	3630.200000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
6	1	3722.600000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
7	1	3689.400000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
8	1	3697.200000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
9	1	3683.000000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
10	1	3670.000000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
11	1	3681.800000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
12	1	3785.000000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
13	1	3656.000000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
14	1	3651.800000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
15	1	3692.800000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
16	1	3639.100000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
17	1	3660.600000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
18	1	3775.000000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
19	1	3692.500000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
20	1	3619.800000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
21	1	3708.000000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
22	1	3702.200000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
23	1	3625.100000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
24	1	3767.500000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
25	1	3667.000000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
26	1	3615.300000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
27	1	3685.800000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
28	1	3790.400000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
29	1	3647.800000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
30	1	3609.300000	ms	total	benchMeteor	StackUnoptimized	BenchmarkGameSuite-Long		1			
1	1	211.000000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
2	1	210.800000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
3	1	258.000000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
4	1	210.200000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
5	1	211.600000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
6	1	213.700000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
7	1	213.400000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
8	1	211.600000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
9	1	213.300000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
10	1	213.400000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
11	1	213.500000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
12	1	213.500000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
13	1	210.700000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
14	1	211.700000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
15	1	210.800000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
16	1	219.000000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
17	1	213.200000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
18	1	211.400000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
19	1	212.200000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
20	1	211.200000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
21	1	211.600000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
22	1	219.200000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
23	1	211.800000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
24	1	210.600000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
25	1	211.300000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
26	1	210.600000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
27	1	226.000000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
28	1	212.200000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
29	1	213.600000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
30	1	212.300000	ms	total	SMarkSlopstone	Stock	Smark-Slopstone		1			
1	1	104316.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
1	1	210.000000	ms	total	1+1	Stock	StartUp		1			
2	1	104280.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
2	1	230.000000	ms	total	1+1	Stock	StartUp		1			
3	1	104580.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
3	1	310.000000	ms	total	1+1	Stock	StartUp		1			
4	1	104180.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
4	1	330.000000	ms	total	1+1	Stock	StartUp		1			
5	1	106584.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
5	1	320.000000	ms	total	1+1	Stock	StartUp		1			
6	1	104316.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
6	1	310.000000	ms	total	1+1	Stock	StartUp		1			
7	1	104556.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
7	1	320.000000	ms	total	1+1	Stock	StartUp		1			
8	1	106580.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
8	1	320.000000	ms	total	1+1	Stock	StartUp		1			
9	1	104420.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
9	1	310.000000	ms	total	1+1	Stock	StartUp		1			
10	1	104196.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
10	1	330.000000	ms	total	1+1	Stock	StartUp		1			
11	1	106368.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
11	1	320.000000	ms	total	1+1	Stock	StartUp		1			
12	1	106464.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
12	1	300.000000	ms	total	1+1	Stock	StartUp		1			
13	1	104536.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
13	1	300.000000	ms	total	1+1	Stock	StartUp		1			
14	1	106228.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
14	1	320.000000	ms	total	1+1	Stock	StartUp		1			
15	1	104552.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
15	1	320.000000	ms	total	1+1	Stock	StartUp		1			
16	1	106224.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
16	1	320.000000	ms	total	1+1	Stock	StartUp		1			
17	1	104420.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
17	1	310.000000	ms	total	1+1	Stock	StartUp		1			
18	1	104648.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
18	1	320.000000	ms	total	1+1	Stock	StartUp		1			
19	1	104320.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
19	1	310.000000	ms	total	1+1	Stock	StartUp		1			
20	1	104332.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
20	1	310.000000	ms	total	1+1	Stock	StartUp		1			
21	1	104412.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
21	1	310.000000	ms	total	1+1	Stock	StartUp		1			
22	1	104452.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
22	1	330.000000	ms	total	1+1	Stock	StartUp		1			
23	1	106600.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
23	1	320.000000	ms	total	1+1	Stock	StartUp		1			
24	1	106360.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
24	1	320.000000	ms	total	1+1	Stock	StartUp		1			
25	1	104404.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
25	1	320.000000	ms	total	1+1	Stock	StartUp		1			
26	1	104308.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
26	1	310.000000	ms	total	1+1	Stock	StartUp		1			
27	1	104412.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
27	1	330.000000	ms	total	1+1	Stock	StartUp		1			
28	1	106616.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
28	1	320.000000	ms	total	1+1	Stock	StartUp		1			
29	1	104652.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
29	1	300.000000	ms	total	1+1	Stock	StartUp		1			
30	1	106252.000000	kb	MaxRSS	1+1	Stock	StartUp		1			
30	1	320.000000	ms	total	1+1	Stock	StartUp		1			
1	1	2713.300000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
2	1	2707.300000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
3	1	2707.600000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
4	1	2710.400000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
5	1	2713.000000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
6	1	2742.200000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
7	1	2712.400000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
8	1	2733.000000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
9	1	2718.300000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
10	1	2669.700000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
11	1	2735.200000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
12	1	2735.400000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
13	1	2738.000000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
14	1	2714.800000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
15	1	2721.000000	ms	total	benchSpectralNorm	Stock	BenchmarkGameSuite-Long		1			
