#!/home/npalumbo/.local/bin/rebench -v execution_time.conf
# Execution Start: 2024-04-08T10:36:59.887620+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	510.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
2	1	514.600000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
3	1	512.200000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
4	1	504.800000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
5	1	504.400000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
6	1	528.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
7	1	517.600000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
8	1	500.700000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
9	1	509.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
10	1	508.700000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
11	1	509.200000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
12	1	510.900000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
13	1	515.100000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
14	1	510.600000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
15	1	501.000000	ms	total	benchReverseComplement	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	1311.400000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
2	1	1421.000000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
3	1	1334.700000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
4	1	1382.600000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
5	1	1444.700000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
6	1	1401.400000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
7	1	1359.100000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
8	1	1317.600000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
9	1	1405.000000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
10	1	1361.400000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
11	1	1439.000000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
12	1	1382.600000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
13	1	1381.600000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
14	1	1382.000000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
15	1	1414.000000	ms	total	benchFasta	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	584.100000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
2	1	583.100000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
3	1	582.500000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
4	1	582.400000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
5	1	583.700000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
6	1	613.100000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
7	1	581.800000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
8	1	582.900000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
9	1	591.900000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
10	1	613.600000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
11	1	582.600000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
12	1	607.000000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
13	1	613.200000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
14	1	629.000000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
15	1	583.600000	ms	total	benchFasta	Stock	BenchmarkGameSuite-VeryShort		1			
1	1	755.400000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
2	1	770.200000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
3	1	750.500000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
4	1	744.200000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
5	1	741.000000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
6	1	718.000000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
7	1	768.000000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
8	1	730.700000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
9	1	737.200000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
10	1	742.700000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
11	1	723.800000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
12	1	735.200000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
13	1	731.400000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
14	1	733.200000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
15	1	731.600000	ms	total	benchChameleons	Stack	BenchmarkGameSuite-VeryShort		1			
1	1	12056.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
2	1	12063.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
3	1	12095.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
4	1	12011.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
5	1	12090.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
6	1	12075.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
7	1	12227.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
8	1	12184.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
9	1	12048.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
10	1	12070.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
11	1	12032.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
12	1	12037.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
13	1	12039.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
14	1	12067.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
15	1	12014.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
1	1	365.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
2	1	381.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
3	1	437.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
4	1	386.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
5	1	345.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
6	1	394.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
7	1	376.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
8	1	386.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
9	1	365.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
10	1	371.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
11	1	387.100000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
12	1	397.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
