#!/usr/local/bin/rebench -v execution_time.conf
# Execution Start: 2024-09-02T12:06:28.642729+00:00
# Environment: {"userName": "polito", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	6237.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
2	1	6246.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
3	1	6244.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
4	1	6307.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
5	1	6278.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
6	1	6432.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
7	1	6246.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
8	1	6484.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
9	1	6280.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
10	1	6220.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
11	1	6247.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
12	1	7026.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
13	1	6283.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
14	1	6243.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
15	1	6248.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
16	1	7045.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
17	1	6322.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
18	1	6247.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
19	1	6234.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
20	1	6258.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
21	1	6246.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
22	1	6247.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
23	1	6250.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
24	1	6248.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
25	1	6249.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
26	1	6244.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
27	1	6282.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
28	1	6272.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
29	1	6249.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
30	1	6244.000000	ms	total	benchSpectralNorm	Stack	BenchmarkGameSuite-Long		1			
1	1	367.900000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
2	1	367.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
3	1	373.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
4	1	404.100000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
5	1	363.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
6	1	401.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
7	1	359.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
8	1	393.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
9	1	374.400000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
10	1	370.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
11	1	406.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
12	1	383.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
13	1	376.300000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
14	1	355.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
15	1	366.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
16	1	401.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
17	1	397.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
18	1	384.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
19	1	423.700000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
20	1	386.600000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
21	1	415.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
22	1	385.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
23	1	362.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
24	1	377.100000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
25	1	376.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
26	1	383.300000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
27	1	395.800000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
28	1	369.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
29	1	347.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
30	1	371.000000	ms	total	benchChameleons	Stock	BenchmarkGameSuite-VeryShort		1			
1	1	1845.000000	ms	total	benchMandelbrot	Mirror	BenchmarkGameSuite-Long		1			
2	1	1874.700000	ms	total	benchMandelbrot	Mirror	BenchmarkGameSuite-Long		1			
3	1	1889.000000	ms	total	benchMandelbrot	Mirror	BenchmarkGameSuite-Long		1			
4	1	1862.000000	ms	total	benchMandelbrot	Mirror	BenchmarkGameSuite-Long		1			
5	1	1867.400000	ms	total	benchMandelbrot	Mirror	BenchmarkGameSuite-Long		1			
6	1	1840.900000	ms	total	benchMandelbrot	Mirror	BenchmarkGameSuite-Long		1			
7	1	1862.000000	ms	total	benchMandelbrot	Mirror	BenchmarkGameSuite-Long		1			
8	1	1867.600000	ms	total	benchMandelbrot	Mirror	BenchmarkGameSuite-Long		1			
9	1	1863.600000	ms	total	benchMandelbrot	Mirror	BenchmarkGameSuite-Long		1			
10	1	1873.200000	ms	total	benchMandelbrot	Mirror	BenchmarkGameSuite-Long		1			
11	1	1866.200000	ms	total	benchMandelbrot	Mirror	BenchmarkGameSuite-Long		1			
12	1	1863.300000	ms	total	benchMandelbrot	Mirror	BenchmarkGameSuite-Long		1			
