#!/home/npalumbo/.local/bin/rebench -v execution_time.conf
# Execution Start: 2024-10-04T12:06:15.115913+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	104740.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
1	1	980.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
2	1	106644.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
2	1	530.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
3	1	106812.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
3	1	550.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
4	1	104648.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
4	1	540.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
5	1	104600.000000	kb	MaxRSS	Opal.* AST.*	Druid	Tests		1			
5	1	520.000000	ms	total	Opal.* AST.*	Druid	Tests		1			
1	1	200.700000	ms	total	benchChameneosRedux	Stock	BenchmarkGameSuite-Short		1			
2	1	202.600000	ms	total	benchChameneosRedux	Stock	BenchmarkGameSuite-Short		1			
3	1	203.500000	ms	total	benchChameneosRedux	Stock	BenchmarkGameSuite-Short		1			
4	1	247.000000	ms	total	benchChameneosRedux	Stock	BenchmarkGameSuite-Short		1			
5	1	201.800000	ms	total	benchChameneosRedux	Stock	BenchmarkGameSuite-Short		1			
1	1	993.700000	ms	total	benchNBody	Stock	BenchmarkGameSuite-VeryShort		1			
2	1	981.400000	ms	total	benchNBody	Stock	BenchmarkGameSuite-VeryShort		1			
3	1	981.400000	ms	total	benchNBody	Stock	BenchmarkGameSuite-VeryShort		1			
4	1	980.700000	ms	total	benchNBody	Stock	BenchmarkGameSuite-VeryShort		1			
5	1	981.400000	ms	total	benchNBody	Stock	BenchmarkGameSuite-VeryShort		1			
1	1	382.000000	ms	total	benchChameleons	Druid	BenchmarkGameSuite-VeryShort		1			
2	1	462.000000	ms	total	benchChameleons	Druid	BenchmarkGameSuite-VeryShort		1			
3	1	413.000000	ms	total	benchChameleons	Druid	BenchmarkGameSuite-VeryShort		1			
4	1	418.000000	ms	total	benchChameleons	Druid	BenchmarkGameSuite-VeryShort		1			
5	1	394.000000	ms	total	benchChameleons	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	6879.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
2	1	6853.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
3	1	6914.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
4	1	6873.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
5	1	6871.000000	ms	total	benchMandelbrot	Stack	BenchmarkGameSuite-Long		1			
1	1	798.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
2	1	827.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
3	1	834.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
4	1	828.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
5	1	795.000000	ms	total	benchBinaryTrees	Stock	BenchmarkGameSuite-VeryLong		1			
1	1	104492.000000	kb	MaxRSS	1+1	Simple	StartUp		1			
1	1	410.000000	ms	total	1+1	Simple	StartUp		1			
2	1	104508.000000	kb	MaxRSS	1+1	Simple	StartUp		1			
2	1	370.000000	ms	total	1+1	Simple	StartUp		1			
3	1	104276.000000	kb	MaxRSS	1+1	Simple	StartUp		1			
3	1	360.000000	ms	total	1+1	Simple	StartUp		1			
4	1	104376.000000	kb	MaxRSS	1+1	Simple	StartUp		1			
4	1	360.000000	ms	total	1+1	Simple	StartUp		1			
5	1	104140.000000	kb	MaxRSS	1+1	Simple	StartUp		1			
5	1	360.000000	ms	total	1+1	Simple	StartUp		1			
1	1	104880.000000	kb	MaxRSS	Opal.* AST.*	SimpleDruid	Tests		1			
1	1	500.000000	ms	total	Opal.* AST.*	SimpleDruid	Tests		1			
2	1	104960.000000	kb	MaxRSS	Opal.* AST.*	SimpleDruid	Tests		1			
2	1	530.000000	ms	total	Opal.* AST.*	SimpleDruid	Tests		1			
3	1	104812.000000	kb	MaxRSS	Opal.* AST.*	SimpleDruid	Tests		1			
3	1	530.000000	ms	total	Opal.* AST.*	SimpleDruid	Tests		1			
4	1	104968.000000	kb	MaxRSS	Opal.* AST.*	SimpleDruid	Tests		1			
4	1	520.000000	ms	total	Opal.* AST.*	SimpleDruid	Tests		1			
5	1	104912.000000	kb	MaxRSS	Opal.* AST.*	SimpleDruid	Tests		1			
5	1	530.000000	ms	total	Opal.* AST.*	SimpleDruid	Tests		1			
1	1	931.200000	ms	total	benchRegexDNA	Stack	BenchmarkGameSuite-Mid		1			
2	1	923.000000	ms	total	benchRegexDNA	Stack	BenchmarkGameSuite-Mid		1			
3	1	944.000000	ms	total	benchRegexDNA	Stack	BenchmarkGameSuite-Mid		1			
