#!/opt/homebrew/bin/rebench execution_hits.conf
# Execution Start: 2025-05-06T12:55:25.694931+00:00
# Environment: {"userName": "palumbon", "manualRun": true, "hostName": "Drown-2.local", "osType": "Darwin", "memory": 17179869184, "denoise": {}, "cpu": "Apple M1 Pro", "clockSpeed": 0, "software": [{"name": "kernel", "version": "Darwin Kernel Version 21.6.0: Mon Jun 24 00:58:06 PDT 2024; root:xnu-8020.240.18.709.2~1/RELEASE_ARM64_T6000"}, {"name": "kernel-release", "version": "21.6.0"}, {"name": "architecture", "version": "arm64"}]}
# Source: {"repoURL": "git@github.com:tesonep/benchy.git", "branchOrTag": "server", "commitId": "66e81c5799c8d78d4a7fde119e9598f095ef04ad", "commitMsg": "Lot of data\n", "authorName": "palumbon", "committerName": "palumbon", "authorEmail": "nahuel.palumbo@gmail.com", "committerEmail": "nahuel.palumbo@gmail.com"}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	0	CleanBlockClosure	total	benchFasta	FullBlocks	BenchmarkGameSuite-VeryShort		1			
1	2	16	ConstantBlockClosure	total	benchFasta	FullBlocks	BenchmarkGameSuite-VeryShort		1			
1	3	20374	FullBlockClosure	total	benchFasta	FullBlocks	BenchmarkGameSuite-VeryShort		1			
1	1	0	CleanBlockClosure	total	benchReverseComplement	FullBlocks	BenchmarkGameSuite-VeryShort		1			
1	2	14	ConstantBlockClosure	total	benchReverseComplement	FullBlocks	BenchmarkGameSuite-VeryShort		1			
1	3	20906	FullBlockClosure	total	benchReverseComplement	FullBlocks	BenchmarkGameSuite-VeryShort		1			
1	1	4636	CleanBlockClosure	total	benchChameneosRedux	CleanBlocks	BenchmarkGameSuite-Short		1			
1	2	168	ConstantBlockClosure	total	benchChameneosRedux	CleanBlocks	BenchmarkGameSuite-Short		1			
1	3	11538756	FullBlockClosure	total	benchChameneosRedux	CleanBlocks	BenchmarkGameSuite-Short		1			
1	1	0	CleanBlockClosure	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
1	2	17	ConstantBlockClosure	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
1	3	67220232	FullBlockClosure	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
1	1	0	CleanBlockClosure	total	benchRegexDNA	FullBlocks	BenchmarkGameSuite-Short		1			
1	2	37	ConstantBlockClosure	total	benchRegexDNA	FullBlocks	BenchmarkGameSuite-Short		1			
1	3	130320065	FullBlockClosure	total	benchRegexDNA	FullBlocks	BenchmarkGameSuite-Short		1			
1	1	4480	CleanBlockClosure	total	benchFasta	CleanBlocks	BenchmarkGameSuite-VeryShort		1			
1	2	16	ConstantBlockClosure	total	benchFasta	CleanBlocks	BenchmarkGameSuite-VeryShort		1			
1	3	16152	FullBlockClosure	total	benchFasta	CleanBlocks	BenchmarkGameSuite-VeryShort		1			
1	1	1952	CleanBlockClosure	total	benchNBody	CleanConstantBlocks	BenchmarkGameSuite-VeryShort		1			
1	2	2602	ConstantBlockClosure	total	benchNBody	CleanConstantBlocks	BenchmarkGameSuite-VeryShort		1			
1	3	16158	FullBlockClosure	total	benchNBody	CleanConstantBlocks	BenchmarkGameSuite-VeryShort		1			
1	1	1892	CleanBlockClosure	total	SMarkSlopstone	CleanConstantBlocks	Smark-Slopstone		1			
1	2	67202559	ConstantBlockClosure	total	SMarkSlopstone	CleanConstantBlocks	Smark-Slopstone		1			
1	3	16091	FullBlockClosure	total	SMarkSlopstone	CleanConstantBlocks	Smark-Slopstone		1			
1	1	0	CleanBlockClosure	total	benchKNucleotide	FullBlocks	BenchmarkGameSuite-Short		1			
1	2	17	ConstantBlockClosure	total	benchKNucleotide	FullBlocks	BenchmarkGameSuite-Short		1			
1	3	21001	FullBlockClosure	total	benchKNucleotide	FullBlocks	BenchmarkGameSuite-Short		1			
1	1	0	CleanBlockClosure	total	benchSpectralNorm	FullBlocks	BenchmarkGameSuite-Long		1			
1	2	21	ConstantBlockClosure	total	benchSpectralNorm	FullBlocks	BenchmarkGameSuite-Long		1			
1	3	20394	FullBlockClosure	total	benchSpectralNorm	FullBlocks	BenchmarkGameSuite-Long		1			
1	1	0	CleanBlockClosure	total	Microdown.*	FullBlocks	Tests		1			
1	2	204	ConstantBlockClosure	total	Microdown.*	FullBlocks	Tests		1			
1	3	523038	FullBlockClosure	total	Microdown.*	FullBlocks	Tests		1			
1	1	4501	CleanBlockClosure	total	SMarkDeltaBlue	CleanBlocks	Smark-DeltaBlue		1			
1	2	14	ConstantBlockClosure	total	SMarkDeltaBlue	CleanBlocks	Smark-DeltaBlue		1			
1	3	16092	FullBlockClosure	total	SMarkDeltaBlue	CleanBlocks	Smark-DeltaBlue		1			
1	1	1892	CleanBlockClosure	total	benchFasta	CleanConstantBlocks	BenchmarkGameSuite-VeryShort		1			
1	2	2599	ConstantBlockClosure	total	benchFasta	CleanConstantBlocks	BenchmarkGameSuite-VeryShort		1			
1	3	16146	FullBlockClosure	total	benchFasta	CleanConstantBlocks	BenchmarkGameSuite-VeryShort		1			
1	1	884011	CleanBlockClosure	total	Kernel.*	CleanConstantBlocks	Tests		1			
1	2	69424	ConstantBlockClosure	total	Kernel.*	CleanConstantBlocks	Tests		1			
1	3	1325922	FullBlockClosure	total	Kernel.*	CleanConstantBlocks	Tests		1			
1	1	4480	CleanBlockClosure	total	benchChameleons	CleanBlocks	BenchmarkGameSuite-VeryShort		1			
1	2	216	ConstantBlockClosure	total	benchChameleons	CleanBlocks	BenchmarkGameSuite-VeryShort		1			
1	3	14417282	FullBlockClosure	total	benchChameleons	CleanBlocks	BenchmarkGameSuite-VeryShort		1			
1	1	1892	CleanBlockClosure	total	benchMandelbrot	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
1	2	2608	ConstantBlockClosure	total	benchMandelbrot	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
1	3	16186	FullBlockClosure	total	benchMandelbrot	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
1	1	28010	CleanBlockClosure	total	Network.*|Zinc.*|Zodiac.*	CleanConstantBlocks	Tests		1			
1	2	18316	ConstantBlockClosure	total	Network.*|Zinc.*|Zodiac.*	CleanConstantBlocks	Tests		1			
1	3	4795720	FullBlockClosure	total	Network.*|Zinc.*|Zodiac.*	CleanConstantBlocks	Tests		1			
1	1	74792	CleanBlockClosure	total	File.*	CleanBlocks	Tests		1			
1	2	438	ConstantBlockClosure	total	File.*	CleanBlocks	Tests		1			
1	3	371989	FullBlockClosure	total	File.*	CleanBlocks	Tests		1			
1	1	1892	CleanBlockClosure	total	benchPiDigits	CleanConstantBlocks	BenchmarkGameSuite-Mid		1			
1	2	2597	ConstantBlockClosure	total	benchPiDigits	CleanConstantBlocks	BenchmarkGameSuite-Mid		1			
1	3	16138	FullBlockClosure	total	benchPiDigits	CleanConstantBlocks	BenchmarkGameSuite-Mid		1			
1	1	4708	CleanBlockClosure	total	benchMeteor	CleanBlocks	BenchmarkGameSuite-Long		1			
1	2	14	ConstantBlockClosure	total	benchMeteor	CleanBlocks	BenchmarkGameSuite-Long		1			
1	3	99063	FullBlockClosure	total	benchMeteor	CleanBlocks	BenchmarkGameSuite-Long		1			
1	1	0	CleanBlockClosure	total	benchNBody	FullBlocks	BenchmarkGameSuite-VeryShort		1			
1	2	21	ConstantBlockClosure	total	benchNBody	FullBlocks	BenchmarkGameSuite-VeryShort		1			
1	3	20454	FullBlockClosure	total	benchNBody	FullBlocks	BenchmarkGameSuite-VeryShort		1			
1	1	2120	CleanBlockClosure	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
1	2	2596	ConstantBlockClosure	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
1	3	99053	FullBlockClosure	total	benchMeteor	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
1	1	4540	CleanBlockClosure	total	benchNBody	CleanBlocks	BenchmarkGameSuite-VeryShort		1			
1	2	20	ConstantBlockClosure	total	benchNBody	CleanBlocks	BenchmarkGameSuite-VeryShort		1			
1	3	16168	FullBlockClosure	total	benchNBody	CleanBlocks	BenchmarkGameSuite-VeryShort		1			
1	1	1890	CleanBlockClosure	total	1+1	CleanConstantBlocks	StartUp		1			
1	2	2381	ConstantBlockClosure	total	1+1	CleanConstantBlocks	StartUp		1			
1	3	15831	FullBlockClosure	total	1+1	CleanConstantBlocks	StartUp		1			
1	1	1892	CleanBlockClosure	total	SMarkDeltaBlue	CleanConstantBlocks	Smark-DeltaBlue		1			
1	2	2617	ConstantBlockClosure	total	SMarkDeltaBlue	CleanConstantBlocks	Smark-DeltaBlue		1			
1	3	16083	FullBlockClosure	total	SMarkDeltaBlue	CleanConstantBlocks	Smark-DeltaBlue		1			
1	1	4459	CleanBlockClosure	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
1	2	16	ConstantBlockClosure	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
1	3	16126	FullBlockClosure	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
1	1	4480	CleanBlockClosure	total	benchSpectralNorm	CleanBlocks	BenchmarkGameSuite-Long		1			
1	2	22	ConstantBlockClosure	total	benchSpectralNorm	CleanBlocks	BenchmarkGameSuite-Long		1			
1	3	16180	FullBlockClosure	total	benchSpectralNorm	CleanBlocks	BenchmarkGameSuite-Long		1			
1	1	4480	CleanBlockClosure	total	benchReverseComplement	CleanBlocks	BenchmarkGameSuite-VeryShort		1			
1	2	15	ConstantBlockClosure	total	benchReverseComplement	CleanBlocks	BenchmarkGameSuite-VeryShort		1			
1	3	16688	FullBlockClosure	total	benchReverseComplement	CleanBlocks	BenchmarkGameSuite-VeryShort		1			
1	1	1892	CleanBlockClosure	total	benchBinaryTrees	CleanConstantBlocks	BenchmarkGameSuite-VeryLong		1			
1	2	2578	ConstantBlockClosure	total	benchBinaryTrees	CleanConstantBlocks	BenchmarkGameSuite-VeryLong		1			
1	3	16119	FullBlockClosure	total	benchBinaryTrees	CleanConstantBlocks	BenchmarkGameSuite-VeryLong		1			
