#!/opt/homebrew/bin/rebench execution_time.conf
# Execution Start: 2025-05-07T00:38:08.951130+00:00
# Environment: {"userName": "palumbon", "manualRun": true, "hostName": "Drown-2.local", "osType": "Darwin", "memory": 17179869184, "denoise": {}, "cpu": "Apple M1 Pro", "clockSpeed": 0, "software": [{"name": "kernel", "version": "Darwin Kernel Version 21.6.0: Mon Jun 24 00:58:06 PDT 2024; root:xnu-8020.240.18.709.2~1/RELEASE_ARM64_T6000"}, {"name": "kernel-release", "version": "21.6.0"}, {"name": "architecture", "version": "arm64"}]}
# Source: {"repoURL": "git@github.com:tesonep/benchy.git", "branchOrTag": "server", "commitId": "66e81c5799c8d78d4a7fde119e9598f095ef04ad", "commitMsg": "Lot of data\n", "authorName": "palumbon", "committerName": "palumbon", "authorEmail": "nahuel.palumbo@gmail.com", "committerEmail": "nahuel.palumbo@gmail.com"}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	239.900000	ms	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
2	1	239.900000	ms	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
3	1	240.700000	ms	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
4	1	245.000000	ms	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
5	1	244.200000	ms	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
6	1	240.300000	ms	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
7	1	241.100000	ms	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
8	1	240.200000	ms	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
9	1	241.400000	ms	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
10	1	240.700000	ms	total	benchBinaryTrees	CleanBlocks	BenchmarkGameSuite-VeryLong		1			
1	1	140.500000	ms	total	SMarkRichards	CleanBlocks	Smark-Richards		1			
2	1	140.300000	ms	total	SMarkRichards	CleanBlocks	Smark-Richards		1			
3	1	139.900000	ms	total	SMarkRichards	CleanBlocks	Smark-Richards		1			
4	1	140.400000	ms	total	SMarkRichards	CleanBlocks	Smark-Richards		1			
5	1	139.300000	ms	total	SMarkRichards	CleanBlocks	Smark-Richards		1			
6	1	139.800000	ms	total	SMarkRichards	CleanBlocks	Smark-Richards		1			
7	1	139.800000	ms	total	SMarkRichards	CleanBlocks	Smark-Richards		1			
8	1	140.200000	ms	total	SMarkRichards	CleanBlocks	Smark-Richards		1			
9	1	140.200000	ms	total	SMarkRichards	CleanBlocks	Smark-Richards		1			
10	1	139.500000	ms	total	SMarkRichards	CleanBlocks	Smark-Richards		1			
1	1	315.700000	ms	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
2	1	315.100000	ms	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
3	1	316.000000	ms	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
4	1	316.600000	ms	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
5	1	318.800000	ms	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
6	1	316.200000	ms	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
7	1	315.400000	ms	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
8	1	315.200000	ms	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
9	1	315.500000	ms	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
10	1	316.500000	ms	total	SMarkSlopstone	FullBlocks	Smark-Slopstone		1			
1	1	150.800000	ms	total	SMarkRichards	CleanConstantBlocks	Smark-Richards		1			
2	1	140.600000	ms	total	SMarkRichards	CleanConstantBlocks	Smark-Richards		1			
3	1	140.300000	ms	total	SMarkRichards	CleanConstantBlocks	Smark-Richards		1			
4	1	139.800000	ms	total	SMarkRichards	CleanConstantBlocks	Smark-Richards		1			
5	1	140.000000	ms	total	SMarkRichards	CleanConstantBlocks	Smark-Richards		1			
6	1	150.000000	ms	total	SMarkRichards	CleanConstantBlocks	Smark-Richards		1			
7	1	140.100000	ms	total	SMarkRichards	CleanConstantBlocks	Smark-Richards		1			
8	1	140.600000	ms	total	SMarkRichards	CleanConstantBlocks	Smark-Richards		1			
9	1	140.200000	ms	total	SMarkRichards	CleanConstantBlocks	Smark-Richards		1			
10	1	140.600000	ms	total	SMarkRichards	CleanConstantBlocks	Smark-Richards		1			
1	1	3670.000000	ms	user	File.*	CleanConstantBlocks	Tests		1			
1	1	110.000000	ms	sys	File.*	CleanConstantBlocks	Tests		1			
1	1	8220.000000	ms	total	File.*	CleanConstantBlocks	Tests		1			
2	1	3670.000000	ms	user	File.*	CleanConstantBlocks	Tests		1			
2	1	110.000000	ms	sys	File.*	CleanConstantBlocks	Tests		1			
2	1	8200.000000	ms	total	File.*	CleanConstantBlocks	Tests		1			
3	1	3710.000000	ms	user	File.*	CleanConstantBlocks	Tests		1			
3	1	110.000000	ms	sys	File.*	CleanConstantBlocks	Tests		1			
3	1	8290.000000	ms	total	File.*	CleanConstantBlocks	Tests		1			
4	1	3600.000000	ms	user	File.*	CleanConstantBlocks	Tests		1			
4	1	110.000000	ms	sys	File.*	CleanConstantBlocks	Tests		1			
4	1	8180.000000	ms	total	File.*	CleanConstantBlocks	Tests		1			
5	1	3670.000000	ms	user	File.*	CleanConstantBlocks	Tests		1			
5	1	100.000000	ms	sys	File.*	CleanConstantBlocks	Tests		1			
5	1	8230.000000	ms	total	File.*	CleanConstantBlocks	Tests		1			
6	1	3620.000000	ms	user	File.*	CleanConstantBlocks	Tests		1			
6	1	110.000000	ms	sys	File.*	CleanConstantBlocks	Tests		1			
6	1	8200.000000	ms	total	File.*	CleanConstantBlocks	Tests		1			
7	1	3710.000000	ms	user	File.*	CleanConstantBlocks	Tests		1			
7	1	110.000000	ms	sys	File.*	CleanConstantBlocks	Tests		1			
7	1	8250.000000	ms	total	File.*	CleanConstantBlocks	Tests		1			
8	1	3640.000000	ms	user	File.*	CleanConstantBlocks	Tests		1			
8	1	110.000000	ms	sys	File.*	CleanConstantBlocks	Tests		1			
8	1	8200.000000	ms	total	File.*	CleanConstantBlocks	Tests		1			
9	1	3650.000000	ms	user	File.*	CleanConstantBlocks	Tests		1			
9	1	100.000000	ms	sys	File.*	CleanConstantBlocks	Tests		1			
9	1	8180.000000	ms	total	File.*	CleanConstantBlocks	Tests		1			
10	1	3650.000000	ms	user	File.*	CleanConstantBlocks	Tests		1			
10	1	100.000000	ms	sys	File.*	CleanConstantBlocks	Tests		1			
10	1	8190.000000	ms	total	File.*	CleanConstantBlocks	Tests		1			
1	1	153.600000	ms	total	benchChameleons	FullBlocks	BenchmarkGameSuite-VeryShort		1			
2	1	158.000000	ms	total	benchChameleons	FullBlocks	BenchmarkGameSuite-VeryShort		1			
3	1	153.700000	ms	total	benchChameleons	FullBlocks	BenchmarkGameSuite-VeryShort		1			
4	1	153.900000	ms	total	benchChameleons	FullBlocks	BenchmarkGameSuite-VeryShort		1			
5	1	157.500000	ms	total	benchChameleons	FullBlocks	BenchmarkGameSuite-VeryShort		1			
6	1	152.400000	ms	total	benchChameleons	FullBlocks	BenchmarkGameSuite-VeryShort		1			
7	1	148.900000	ms	total	benchChameleons	FullBlocks	BenchmarkGameSuite-VeryShort		1			
8	1	153.200000	ms	total	benchChameleons	FullBlocks	BenchmarkGameSuite-VeryShort		1			
9	1	151.800000	ms	total	benchChameleons	FullBlocks	BenchmarkGameSuite-VeryShort		1			
10	1	152.500000	ms	total	benchChameleons	FullBlocks	BenchmarkGameSuite-VeryShort		1			
1	1	424.000000	ms	total	benchNBody	FullBlocks	BenchmarkGameSuite-VeryShort		1			
2	1	423.900000	ms	total	benchNBody	FullBlocks	BenchmarkGameSuite-VeryShort		1			
3	1	424.200000	ms	total	benchNBody	FullBlocks	BenchmarkGameSuite-VeryShort		1			
4	1	423.900000	ms	total	benchNBody	FullBlocks	BenchmarkGameSuite-VeryShort		1			
5	1	423.800000	ms	total	benchNBody	FullBlocks	BenchmarkGameSuite-VeryShort		1			
