#!/opt/homebrew/bin/rebench execution_time.conf
# Execution Start: 2024-09-05T11:10:58.595848+00:00
# Environment: {"userName": "palumbon", "manualRun": true, "hostName": "Drown-2.local", "osType": "Darwin", "memory": 17179869184, "denoise": {}, "cpu": "Apple M1 Pro", "clockSpeed": 0, "software": [{"name": "kernel", "version": "Darwin Kernel Version 21.6.0: Mon Jun 24 00:58:06 PDT 2024; root:xnu-8020.240.18.709.2~1/RELEASE_ARM64_T6000"}, {"name": "kernel-release", "version": "21.6.0"}, {"name": "architecture", "version": "arm64"}]}
# Source: {"repoURL": "git@github.com:tesonep/benchy.git", "branchOrTag": "server", "commitId": "53a18461c98390ae6b404e17d99c61d7ac74b963", "commitMsg": "Conf and Data for paper\n", "authorName": "palumbon", "committerName": "palumbon", "authorEmail": "nahuel.palumbo@gmail.com", "committerEmail": "nahuel.palumbo@gmail.com"}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	399.300000	ms	total	SMarkDeltaBlue	Stack	Smark-DeltaBlue		1			
1	1	933.000000	ms	total	benchMandelbrot	Simple	BenchmarkGameSuite-Long		1			
1	1	140.000000	ms	user	1+1	Simple	StartUp		1			
1	1	10.000000	ms	sys	1+1	Simple	StartUp		1			
1	1	160.000000	ms	total	1+1	Simple	StartUp		1			
1	1	280.000000	ms	user	Opal.* AST.*	Stack	Tests		1			
1	1	20.000000	ms	sys	Opal.* AST.*	Stack	Tests		1			
1	1	320.000000	ms	total	Opal.* AST.*	Stack	Tests		1			
1	1	277.400000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
1	1	280.000000	ms	user	Network.* Zinc.* Zodiac.*	Stack	Tests		1			
1	1	10.000000	ms	sys	Network.* Zinc.* Zodiac.*	Stack	Tests		1			
1	1	310.000000	ms	total	Network.* Zinc.* Zodiac.*	Stack	Tests		1			
1	1	4660.000000	ms	user	File.*	Druid	Tests		1			
1	1	140.000000	ms	sys	File.*	Druid	Tests		1			
1	1	14350.000000	ms	total	File.*	Druid	Tests		1			
1	1	397.000000	ms	total	benchFasta	Stack	BenchmarkGameSuite-VeryShort		1			
1	1	275.700000	ms	total	benchChameneosRedux	SimpleDruid	BenchmarkGameSuite-Short		1			
1	1	1186.400000	ms	total	benchNBody	SimpleDruid	BenchmarkGameSuite-VeryShort		1			
1	1	25.400000	ms	total	benchThreadRing	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	4240.000000	ms	user	File.*	Simple	Tests		1			
1	1	140.000000	ms	sys	File.*	Simple	Tests		1			
1	1	13730.000000	ms	total	File.*	Simple	Tests		1			
1	1	530.000000	ms	user	Network.* Zinc.* Zodiac.*	SimpleDruid	Tests		1			
1	1	20.000000	ms	sys	Network.* Zinc.* Zodiac.*	SimpleDruid	Tests		1			
1	1	560.000000	ms	total	Network.* Zinc.* Zodiac.*	SimpleDruid	Tests		1			
1	1	230.000000	ms	user	1+1	Stack	StartUp		1			
1	1	10.000000	ms	sys	1+1	Stack	StartUp		1			
1	1	260.000000	ms	total	1+1	Stack	StartUp		1			
1	1	7600.000000	ms	user	Kernel.*	Simple	Tests		1			
1	1	980.000000	ms	sys	Kernel.*	Simple	Tests		1			
1	1	12440.000000	ms	total	Kernel.*	Simple	Tests		1			
1	1	292.200000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
1	1	10490.000000	ms	user	Kernel.*	SimpleDruid	Tests		1			
1	1	870.000000	ms	sys	Kernel.*	SimpleDruid	Tests		1			
1	1	15170.000000	ms	total	Kernel.*	SimpleDruid	Tests		1			
1	1	108.900000	ms	total	benchChameneosRedux	Druid	BenchmarkGameSuite-Short		1			
1	1	639.000000	ms	total	benchKNucleotide	Druid	BenchmarkGameSuite-Short		1			
1	1	5890.000000	ms	user	File.*	SimpleDruid	Tests		1			
1	1	140.000000	ms	sys	File.*	SimpleDruid	Tests		1			
1	1	15370.000000	ms	total	File.*	SimpleDruid	Tests		1			
1	1	190.000000	ms	user	Opal.* AST.*	Simple	Tests		1			
1	1	10.000000	ms	sys	Opal.* AST.*	Simple	Tests		1			
1	1	210.000000	ms	total	Opal.* AST.*	Simple	Tests		1			
1	1	88.400000	ms	total	benchChameleons	Druid	BenchmarkGameSuite-VeryShort		1			
1	1	143.100000	ms	total	benchMeteor	Stock	BenchmarkGameSuite-Long		1			
1	1	1137.600000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
1	1	4910.000000	ms	user	File.*	Stack	Tests		1			
1	1	140.000000	ms	sys	File.*	Stack	Tests		1			
1	1	14400.000000	ms	total	File.*	Stack	Tests		1			
1	1	24.300000	ms	total	benchThreadRing	Simple	BenchmarkGameSuite-VeryShort		1			
1	1	220.000000	ms	user	1+1	Druid	StartUp		1			
