#!/opt/homebrew/bin/rebench execution_time.conf
# Execution Start: 2024-09-25T13:30:28.922979+00:00
# Environment: {"userName": "palumbon", "manualRun": true, "hostName": "Drown-2.local", "osType": "Darwin", "memory": 17179869184, "denoise": {}, "cpu": "Apple M1 Pro", "clockSpeed": 0, "software": [{"name": "kernel", "version": "Darwin Kernel Version 21.6.0: Mon Jun 24 00:58:06 PDT 2024; root:xnu-8020.240.18.709.2~1/RELEASE_ARM64_T6000"}, {"name": "kernel-release", "version": "21.6.0"}, {"name": "architecture", "version": "arm64"}]}
# Source: {"repoURL": "git@github.com:tesonep/benchy.git", "branchOrTag": "server", "commitId": "53a18461c98390ae6b404e17d99c61d7ac74b963", "commitMsg": "Conf and Data for paper\n", "authorName": "palumbon", "committerName": "palumbon", "authorEmail": "nahuel.palumbo@gmail.com", "committerEmail": "nahuel.palumbo@gmail.com"}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	22.400000	ms	total	benchThreadRing	FullBlocks	BenchmarkGameSuite-VeryShort		1			
2	1	22.100000	ms	total	benchThreadRing	FullBlocks	BenchmarkGameSuite-VeryShort		1			
3	1	23.000000	ms	total	benchThreadRing	FullBlocks	BenchmarkGameSuite-VeryShort		1			
4	1	22.400000	ms	total	benchThreadRing	FullBlocks	BenchmarkGameSuite-VeryShort		1			
5	1	22.800000	ms	total	benchThreadRing	FullBlocks	BenchmarkGameSuite-VeryShort		1			
1	1	727.300000	ms	total	benchSpectralNorm	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
2	1	727.600000	ms	total	benchSpectralNorm	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
3	1	730.000000	ms	total	benchSpectralNorm	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
4	1	727.000000	ms	total	benchSpectralNorm	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
5	1	727.700000	ms	total	benchSpectralNorm	CleanConstantBlocks	BenchmarkGameSuite-Long		1			
1	1	60.000000	ms	user	Opal.* AST.*	ConstantBlocks	Tests		1			
1	1	20.000000	ms	sys	Opal.* AST.*	ConstantBlocks	Tests		1			
1	1	100.000000	ms	total	Opal.* AST.*	ConstantBlocks	Tests		1			
2	1	60.000000	ms	user	Opal.* AST.*	ConstantBlocks	Tests		1			
2	1	20.000000	ms	sys	Opal.* AST.*	ConstantBlocks	Tests		1			
2	1	90.000000	ms	total	Opal.* AST.*	ConstantBlocks	Tests		1			
3	1	60.000000	ms	user	Opal.* AST.*	ConstantBlocks	Tests		1			
