#!/opt/homebrew/bin/rebench gc_time.conf
# Execution Start: 2024-06-14T10:45:18.611062+00:00
# Environment: {"userName": "palumbon", "manualRun": true, "hostName": "Drown-2.local", "osType": "Darwin", "memory": 17179869184, "denoise": {}, "cpu": "Apple M1 Pro", "clockSpeed": 0, "software": [{"name": "kernel", "version": "Darwin Kernel Version 21.3.0: Wed Jan  5 21:37:58 PST 2022; root:xnu-8019.80.24~20/RELEASE_ARM64_T6000"}, {"name": "kernel-release", "version": "21.3.0"}, {"name": "architecture", "version": "arm64"}]}
# Source: {"repoURL": "git@github.com:tesonep/benchy.git", "branchOrTag": "server", "commitId": "53a18461c98390ae6b404e17d99c61d7ac74b963", "commitMsg": "Conf and Data for paper\n", "authorName": "palumbon", "committerName": "palumbon", "authorEmail": "nahuel.palumbo@gmail.com", "committerEmail": "nahuel.palumbo@gmail.com"}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	494000.000000	ms	total	benchPiDigits	NoPermi	BenchmarkGameSuite-Mid		1			
1	1	37000.000000	ms	total	SMarkSlopstone	PermiAll	Smark-Slopstone		1			
1	1	488000.000000	ms	total	benchMeteor	EmptyPermi	BenchmarkGameSuite-Long		1			
1	1	0.000000	ms	total	Network.* Zinc.* Zodiac.*	PermiAll	Tests		1			
1	1	0.000000	ms	total	1+1	EmptyPermi	StartUp		1			
1	1	0.000000	ms	total	Network.* Zinc.* Zodiac.*	EmptyPermi	Tests		1			
1	1	1821000.000000	ms	total	File.*	EmptyPermi	Tests		1			
1	1	1952000.000000	ms	total	File.*	NoPermi	Tests		1			
1	1	0.000000	ms	total	Network.* Zinc.* Zodiac.*	NoPermi	Tests		1			
1	1	968000.000000	ms	total	benchReverseComplement	NoPermi	BenchmarkGameSuite-VeryShort		1			
1	1	0.000000	ms	total	Opal.* AST.*	PermiClasses	Tests		1			
1	1	169000.000000	ms	total	benchPiDigits	PermiClasses	BenchmarkGameSuite-Mid		1			
1	1	45000.000000	ms	total	benchMandelbrot	PermiAll	BenchmarkGameSuite-Long		1			
1	1	37000.000000	ms	total	benchChameneosRedux	PermiAll	BenchmarkGameSuite-Short		1			
1	1	580000.000000	ms	total	benchBinaryTrees	EmptyPermi	BenchmarkGameSuite-VeryLong		1			
1	1	0.000000	ms	total	Microdown.*	EmptyPermi	Tests		1			
