#!/home/npalumbo/.local/bin/rebench -v compile_count.conf
# Execution Start: 2024-11-28T09:31:31.674402+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	3850000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
2	1	3906000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
3	1	3638000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
4	1	3856000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
5	1	3638000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
6	1	3902000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
7	1	3850000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
8	1	3638000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
9	1	3638000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
10	1	3638000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
11	1	3638000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
12	1	3638000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
13	1	3638000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
14	1	3638000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
15	1	3850000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
16	1	3848000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
17	1	3859000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
18	1	3850000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
19	1	3867000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
20	1	3638000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
21	1	3850000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
22	1	3638000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
23	1	3851000.000000	ms	total	SMarkSlopstone	Simple	Smark-Slopstone		1			
