#!/home/npalumbo/.local/bin/rebench -v compile_size.conf
# Execution Start: 2024-11-28T23:00:57.440834+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	4429520000.000000	ms	total	File.*	Stock	Tests		1			
2	1	4292696000.000000	ms	total	File.*	Stock	Tests		1			
3	1	4430136000.000000	ms	total	File.*	Stock	Tests		1			
4	1	4412048000.000000	ms	total	File.*	Stock	Tests		1			
5	1	4437992000.000000	ms	total	File.*	Stock	Tests		1			
6	1	4404272000.000000	ms	total	File.*	Stock	Tests		1			
7	1	4432496000.000000	ms	total	File.*	Stock	Tests		1			
8	1	4384912000.000000	ms	total	File.*	Stock	Tests		1			
9	1	4417568000.000000	ms	total	File.*	Stock	Tests		1			
10	1	4433296000.000000	ms	total	File.*	Stock	Tests		1			
11	1	4427136000.000000	ms	total	File.*	Stock	Tests		1			
12	1	4359232000.000000	ms	total	File.*	Stock	Tests		1			
13	1	4427344000.000000	ms	total	File.*	Stock	Tests		1			
14	1	4275312000.000000	ms	total	File.*	Stock	Tests		1			
15	1	4420456000.000000	ms	total	File.*	Stock	Tests		1			
16	1	4277112000.000000	ms	total	File.*	Stock	Tests		1			
17	1	4290904000.000000	ms	total	File.*	Stock	Tests		1			
18	1	4282672000.000000	ms	total	File.*	Stock	Tests		1			
19	1	4402848000.000000	ms	total	File.*	Stock	Tests		1			
20	1	4426264000.000000	ms	total	File.*	Stock	Tests		1			
21	1	4275072000.000000	ms	total	File.*	Stock	Tests		1			
22	1	4268920000.000000	ms	total	File.*	Stock	Tests		1			
23	1	4432272000.000000	ms	total	File.*	Stock	Tests		1			
24	1	4436720000.000000	ms	total	File.*	Stock	Tests		1			
25	1	4426416000.000000	ms	total	File.*	Stock	Tests		1			
26	1	4398520000.000000	ms	total	File.*	Stock	Tests		1			
27	1	4276520000.000000	ms	total	File.*	Stock	Tests		1			
28	1	4276008000.000000	ms	total	File.*	Stock	Tests		1			
29	1	4397448000.000000	ms	total	File.*	Stock	Tests		1			
30	1	4389352000.000000	ms	total	File.*	Stock	Tests		1			
1	1	1814184000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
2	1	1793800000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
3	1	1794920000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
4	1	1736464000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
5	1	1794480000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
6	1	1794480000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
7	1	1736464000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
8	1	1787008000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
9	1	1801312000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
10	1	1795168000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
11	1	1797624000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
12	1	1736464000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
13	1	1785424000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
14	1	1794344000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
15	1	1789624000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
16	1	1794480000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
17	1	1798264000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
18	1	1794904000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
19	1	1794976000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
20	1	1738128000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
21	1	1794480000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
22	1	1801664000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
23	1	1794920000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
24	1	1735320000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
25	1	1791024000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
26	1	1794976000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
27	1	1794904000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
28	1	1794560000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
29	1	1795248000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
30	1	1736464000.000000	ms	total	benchMeteor	Druid	BenchmarkGameSuite-Long		1			
1	1	1771456000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
2	1	1778984000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
3	1	1791816000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
4	1	1778664000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
5	1	1826576000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
6	1	1779064000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
7	1	1813160000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
8	1	1771456000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
9	1	1771536000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
10	1	1771456000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
11	1	1779064000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
12	1	1793304000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
13	1	1780064000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
14	1	1771136000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
15	1	1778984000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
16	1	1778984000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
17	1	1814736000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
18	1	1814736000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
19	1	1779064000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
20	1	1814736000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
21	1	1778984000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
22	1	1771536000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
23	1	1779064000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
24	1	1792736000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
25	1	1813160000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
26	1	1771456000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
27	1	1771456000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
28	1	1779064000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
29	1	1778984000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
30	1	1793424000.000000	ms	total	benchMandelbrot	Druid	BenchmarkGameSuite-Long		1			
1	1	1986512000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
2	1	1983240000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
3	1	1890976000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
4	1	1984048000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
5	1	1986512000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
6	1	1988144000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
7	1	1901144000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
8	1	1989360000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
9	1	1906152000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
10	1	1986512000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
11	1	1988144000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
12	1	1903992000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
13	1	1974360000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
14	1	1983240000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
15	1	1906152000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
16	1	1984048000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
17	1	1890976000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
18	1	1896680000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
19	1	1982704000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
20	1	1983240000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
21	1	1974360000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
22	1	1983240000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
23	1	1984048000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
24	1	1983240000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
25	1	1890976000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
26	1	1906488000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
27	1	1974360000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
28	1	1891064000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
29	1	1983240000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
30	1	1965320000.000000	ms	total	SMarkSlopstone	SimpleDruidSTP	Smark-Slopstone		1			
1	1	7746968000.000000	ms	total	File.*	Druid	Tests		1			
2	1	7411632000.000000	ms	total	File.*	Druid	Tests		1			
3	1	7755432000.000000	ms	total	File.*	Druid	Tests		1			
4	1	7713608000.000000	ms	total	File.*	Druid	Tests		1			
5	1	7427400000.000000	ms	total	File.*	Druid	Tests		1			
6	1	7711936000.000000	ms	total	File.*	Druid	Tests		1			
7	1	7294152000.000000	ms	total	File.*	Druid	Tests		1			
8	1	7738752000.000000	ms	total	File.*	Druid	Tests		1			
9	1	7563080000.000000	ms	total	File.*	Druid	Tests		1			
10	1	7489888000.000000	ms	total	File.*	Druid	Tests		1			
11	1	7487640000.000000	ms	total	File.*	Druid	Tests		1			
12	1	7783264000.000000	ms	total	File.*	Druid	Tests		1			
13	1	7759184000.000000	ms	total	File.*	Druid	Tests		1			
14	1	7488592000.000000	ms	total	File.*	Druid	Tests		1			
15	1	7746368000.000000	ms	total	File.*	Druid	Tests		1			
16	1	7485880000.000000	ms	total	File.*	Druid	Tests		1			
17	1	7493760000.000000	ms	total	File.*	Druid	Tests		1			
18	1	7746032000.000000	ms	total	File.*	Druid	Tests		1			
19	1	7455584000.000000	ms	total	File.*	Druid	Tests		1			
20	1	7713576000.000000	ms	total	File.*	Druid	Tests		1			
21	1	7482248000.000000	ms	total	File.*	Druid	Tests		1			
22	1	7481880000.000000	ms	total	File.*	Druid	Tests		1			
23	1	7583720000.000000	ms	total	File.*	Druid	Tests		1			
24	1	7375592000.000000	ms	total	File.*	Druid	Tests		1			
25	1	7827800000.000000	ms	total	File.*	Druid	Tests		1			
26	1	7700424000.000000	ms	total	File.*	Druid	Tests		1			
27	1	7710544000.000000	ms	total	File.*	Druid	Tests		1			
28	1	7486784000.000000	ms	total	File.*	Druid	Tests		1			
29	1	7729224000.000000	ms	total	File.*	Druid	Tests		1			
30	1	7718760000.000000	ms	total	File.*	Druid	Tests		1			
1	1	1232744000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
2	1	1157992000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
3	1	1155888000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
4	1	1159064000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
5	1	1156544000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
6	1	1158136000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
7	1	1158216000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
8	1	1159368000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
9	1	1158352000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
10	1	1159064000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
11	1	1158352000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
12	1	1160848000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
13	1	1155888000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
14	1	1162152000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
15	1	1158648000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
16	1	1158648000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
17	1	1157992000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
18	1	1253136000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
19	1	1159368000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
20	1	1158648000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
21	1	1158216000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
22	1	1155952000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
23	1	1238280000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
24	1	1158216000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
25	1	1156960000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
26	1	1158216000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
27	1	1158056000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
28	1	1158504000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
29	1	1155888000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
30	1	1160048000.000000	ms	total	benchKNucleotide	Stock	BenchmarkGameSuite-Short		1			
1	1	2074616000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
2	1	2072712000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
3	1	2075760000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
4	1	2072864000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
5	1	2072944000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
6	1	2060816000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
7	1	2077656000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
8	1	2072320000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
9	1	2075984000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
10	1	2071688000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
11	1	2078272000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
12	1	2080704000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
13	1	2071736000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
14	1	2074936000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
15	1	2071344000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
16	1	2076376000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
17	1	2069032000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
18	1	2066272000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
19	1	2079000000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
20	1	2067864000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
21	1	2071688000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
22	1	2079352000.000000	ms	total	benchRegexDNA	DruidSTP	BenchmarkGameSuite-Short		1			
