#!/home/npalumbo/.local/bin/rebench -v compile_time.conf
# Execution Start: 2024-11-29T15:47:08.522477+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	48000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
2	1	38000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
3	1	41000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
4	1	38000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
5	1	44000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
6	1	38000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
7	1	48000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
8	1	49000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
9	1	49000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
10	1	48000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
11	1	41000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
12	1	48000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
13	1	49000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
14	1	56000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
15	1	48000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
16	1	44000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
17	1	37000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
18	1	48000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
19	1	37000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
20	1	49000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
21	1	43000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
22	1	44000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
23	1	49000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
24	1	48000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
25	1	37000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
26	1	48000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
27	1	56000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
28	1	45000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
29	1	40000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
30	1	49000.000000	ms	total	benchMandelbrot	SimpleDruidSTP	BenchmarkGameSuite-Long		1			
1	1	26000.000000	ms	total	SMarkDeltaBlue	Stock	Smark-DeltaBlue		1			
