#!/home/npalumbo/.local/bin/rebench -v execution_time.conf
# Execution Start: 2024-10-24T16:32:47.786215+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	151132.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
1	1	15610.000000	ms	total	File.*	DruidSTP	Tests		1			
2	1	147048.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
2	1	14830.000000	ms	total	File.*	DruidSTP	Tests		1			
3	1	142720.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
3	1	15280.000000	ms	total	File.*	DruidSTP	Tests		1			
4	1	146896.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
4	1	15540.000000	ms	total	File.*	DruidSTP	Tests		1			
5	1	146764.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
5	1	15630.000000	ms	total	File.*	DruidSTP	Tests		1			
6	1	147012.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
6	1	15060.000000	ms	total	File.*	DruidSTP	Tests		1			
7	1	147220.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
7	1	15580.000000	ms	total	File.*	DruidSTP	Tests		1			
8	1	149244.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
8	1	14950.000000	ms	total	File.*	DruidSTP	Tests		1			
9	1	147192.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
9	1	15660.000000	ms	total	File.*	DruidSTP	Tests		1			
10	1	155368.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
10	1	15020.000000	ms	total	File.*	DruidSTP	Tests		1			
11	1	150960.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
11	1	14900.000000	ms	total	File.*	DruidSTP	Tests		1			
12	1	155368.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
12	1	14940.000000	ms	total	File.*	DruidSTP	Tests		1			
13	1	151336.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
13	1	15070.000000	ms	total	File.*	DruidSTP	Tests		1			
14	1	149188.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
14	1	14980.000000	ms	total	File.*	DruidSTP	Tests		1			
15	1	151056.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
15	1	14870.000000	ms	total	File.*	DruidSTP	Tests		1			
16	1	155076.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
16	1	15030.000000	ms	total	File.*	DruidSTP	Tests		1			
17	1	148908.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
17	1	14990.000000	ms	total	File.*	DruidSTP	Tests		1			
18	1	151132.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
18	1	15080.000000	ms	total	File.*	DruidSTP	Tests		1			
19	1	151104.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
19	1	14870.000000	ms	total	File.*	DruidSTP	Tests		1			
20	1	151016.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
20	1	14840.000000	ms	total	File.*	DruidSTP	Tests		1			
21	1	148680.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
21	1	15330.000000	ms	total	File.*	DruidSTP	Tests		1			
22	1	146904.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
22	1	14890.000000	ms	total	File.*	DruidSTP	Tests		1			
23	1	153236.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
23	1	14840.000000	ms	total	File.*	DruidSTP	Tests		1			
24	1	153300.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
24	1	15670.000000	ms	total	File.*	DruidSTP	Tests		1			
25	1	153168.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
25	1	14990.000000	ms	total	File.*	DruidSTP	Tests		1			
26	1	153356.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
26	1	15180.000000	ms	total	File.*	DruidSTP	Tests		1			
27	1	146976.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
27	1	14780.000000	ms	total	File.*	DruidSTP	Tests		1			
28	1	149188.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
28	1	14870.000000	ms	total	File.*	DruidSTP	Tests		1			
29	1	146904.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
29	1	14920.000000	ms	total	File.*	DruidSTP	Tests		1			
30	1	147168.000000	kb	MaxRSS	File.*	DruidSTP	Tests		1			
30	1	15010.000000	ms	total	File.*	DruidSTP	Tests		1			
1	1	3655.800000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
2	1	3659.600000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
3	1	3687.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
4	1	3656.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
5	1	3651.700000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
6	1	3703.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
7	1	3654.700000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
8	1	3665.400000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
9	1	3658.900000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
10	1	3695.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
11	1	3684.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
12	1	3659.500000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
13	1	3707.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
14	1	3671.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
15	1	3679.700000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
16	1	3672.200000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
17	1	3669.700000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
18	1	3651.800000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
19	1	3660.400000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
20	1	3649.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
21	1	3745.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
22	1	3667.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
23	1	3658.400000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
24	1	3661.100000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
25	1	3697.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
26	1	3729.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
27	1	3682.000000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
28	1	3641.800000	ms	total	benchSpectralNorm	Simple	BenchmarkGameSuite-Long		1			
