#!/home/npalumbo/.local/bin/rebench -v compile_count.conf
# Execution Start: 2024-10-31T19:45:14.125042+00:00
# Environment: {"userName": "npalumbo", "manualRun": true, "hostName": "rmod-bench", "osType": "Linux", "memory": 16783798272, "denoise": {}, "cpu": "Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz", "clockSpeed": 2400000000, "software": [{"name": "kernel", "version": "#1 SMP Debian 5.10.140-1 (2022-09-02)"}, {"name": "kernel-release", "version": "5.10.0-18-amd64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": null, "branchOrTag": null, "commitId": null, "commitMsg": null, "authorName": null, "committerName": null, "authorEmail": null, "committerEmail": null}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
2	1	2186000.000000	ms	total	1+1	BaseImage	StartUp		1			
3	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
4	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
5	1	2186000.000000	ms	total	1+1	BaseImage	StartUp		1			
6	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
7	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
8	1	2186000.000000	ms	total	1+1	BaseImage	StartUp		1			
9	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
10	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
11	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
12	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
13	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
14	1	2186000.000000	ms	total	1+1	BaseImage	StartUp		1			
15	1	2186000.000000	ms	total	1+1	BaseImage	StartUp		1			
16	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
17	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
18	1	2186000.000000	ms	total	1+1	BaseImage	StartUp		1			
19	1	2186000.000000	ms	total	1+1	BaseImage	StartUp		1			
20	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
21	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
22	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
23	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
24	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
25	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
26	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
27	1	2186000.000000	ms	total	1+1	BaseImage	StartUp		1			
28	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
29	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
30	1	2200000.000000	ms	total	1+1	BaseImage	StartUp		1			
1	1	12043000.000000	ms	total	File.*	BaseImage	Tests		1			
2	1	12037000.000000	ms	total	File.*	BaseImage	Tests		1			
3	1	11985000.000000	ms	total	File.*	BaseImage	Tests		1			
4	1	12020000.000000	ms	total	File.*	BaseImage	Tests		1			
5	1	12044000.000000	ms	total	File.*	BaseImage	Tests		1			
6	1	12038000.000000	ms	total	File.*	BaseImage	Tests		1			
7	1	12028000.000000	ms	total	File.*	BaseImage	Tests		1			
8	1	12048000.000000	ms	total	File.*	BaseImage	Tests		1			
9	1	11998000.000000	ms	total	File.*	BaseImage	Tests		1			
10	1	11555000.000000	ms	total	File.*	BaseImage	Tests		1			
11	1	12031000.000000	ms	total	File.*	BaseImage	Tests		1			
12	1	11576000.000000	ms	total	File.*	BaseImage	Tests		1			
13	1	12026000.000000	ms	total	File.*	BaseImage	Tests		1			
14	1	11983000.000000	ms	total	File.*	BaseImage	Tests		1			
15	1	12001000.000000	ms	total	File.*	BaseImage	Tests		1			
16	1	12015000.000000	ms	total	File.*	BaseImage	Tests		1			
17	1	11979000.000000	ms	total	File.*	BaseImage	Tests		1			
18	1	12036000.000000	ms	total	File.*	BaseImage	Tests		1			
19	1	12000000.000000	ms	total	File.*	BaseImage	Tests		1			
20	1	11580000.000000	ms	total	File.*	BaseImage	Tests		1			
21	1	11968000.000000	ms	total	File.*	BaseImage	Tests		1			
22	1	12056000.000000	ms	total	File.*	BaseImage	Tests		1			
23	1	12003000.000000	ms	total	File.*	BaseImage	Tests		1			
24	1	12035000.000000	ms	total	File.*	BaseImage	Tests		1			
25	1	12016000.000000	ms	total	File.*	BaseImage	Tests		1			
26	1	11967000.000000	ms	total	File.*	BaseImage	Tests		1			
27	1	12014000.000000	ms	total	File.*	BaseImage	Tests		1			
28	1	11979000.000000	ms	total	File.*	BaseImage	Tests		1			
29	1	12041000.000000	ms	total	File.*	BaseImage	Tests		1			
30	1	12017000.000000	ms	total	File.*	BaseImage	Tests		1			
1	1	2446000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
2	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
3	1	2448000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
4	1	2452000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
5	1	2446000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
6	1	2446000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
7	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
8	1	2446000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
9	1	2446000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
10	1	2446000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
11	1	2446000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
12	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
13	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
14	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
15	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
16	1	2446000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
17	1	2446000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
18	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
19	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
20	1	2448000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
21	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
22	1	2452000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
23	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
24	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
25	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
26	1	2450000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
27	1	2446000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
28	1	2446000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
29	1	2448000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
30	1	2446000.000000	ms	total	benchNBody	BaseImage	BenchmarkGameSuite-VeryShort		1			
1	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
2	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
3	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
4	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
5	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
6	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
7	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
8	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
9	1	2458000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
10	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
11	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
12	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
13	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
14	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
15	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
16	1	2458000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
17	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
18	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
19	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
20	1	2458000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
21	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
22	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
23	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
24	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
25	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
26	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
27	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
28	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
29	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
30	1	2456000.000000	ms	total	benchThreadRing	BaseImage	BenchmarkGameSuite-VeryShort		1			
1	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
2	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
3	1	2444000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
4	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
5	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
6	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
7	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
8	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
9	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
10	1	2444000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
11	1	2444000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
12	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
13	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
14	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
15	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
16	1	2444000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
17	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
18	1	2444000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
19	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
20	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
21	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
22	1	2444000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
23	1	2444000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
24	1	2444000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
25	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
26	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
27	1	2444000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
28	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
29	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
30	1	2441000.000000	ms	total	benchMandelbrot	BaseImage	BenchmarkGameSuite-Long		1			
1	1	12494000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
2	1	14305000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
3	1	12527000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
4	1	12506000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
5	1	12522000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
6	1	12499000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
7	1	14305000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
8	1	12478000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
9	1	12500000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
10	1	12499000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
11	1	12497000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
12	1	12488000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
13	1	12473000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
14	1	12511000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
15	1	12486000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
16	1	12491000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
17	1	12518000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
18	1	12524000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
19	1	12525000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
20	1	12492000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
21	1	12514000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
22	1	12472000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
23	1	12495000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
24	1	12489000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
25	1	12463000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
26	1	12499000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
27	1	12483000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
28	1	12485000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
29	1	12504000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
30	1	12494000.000000	ms	total	Microdown.*	BaseImage	Tests		1			
1	1	2434000.000000	ms	total	benchSpectralNorm	BaseImage	BenchmarkGameSuite-Long		1			
2	1	2436000.000000	ms	total	benchSpectralNorm	BaseImage	BenchmarkGameSuite-Long		1			
